Sex,Age,Year,Month,Register
Male,Under 25 years,2015,1,383
Male,Under 25 years,2015,2,374
Male,Under 25 years,2015,3,380
Male,Under 25 years,2015,4,374
Male,Under 25 years,2015,5,375
Male,Under 25 years,2015,6,389
Male,Under 25 years,2015,7,399
Male,Under 25 years,2015,8,413
Male,Under 25 years,2015,9,366
Male,Under 25 years,2015,10,335
Male,Under 25 years,2015,11,324
Male,Under 25 years,2015,12,335
Male,Under 25 years,2016,1,351
Male,Under 25 years,2016,2,336
Male,Under 25 years,2016,3,323
Male,Under 25 years,2016,4,313
Male,Under 25 years,2016,5,325
Male,Under 25 years,2016,6,315
Male,Under 25 years,2016,7,332
Male,Under 25 years,2016,8,330
Male,Under 25 years,2016,9,282
Male,Under 25 years,2016,10,275
Male,Under 25 years,2016,11,275
Male,Under 25 years,2016,12,280
Male,Under 25 years,2017,1,287
Male,Under 25 years,2017,2,293
Male,Under 25 years,2017,3,267
Male,Under 25 years,2017,4,259
Male,Under 25 years,2017,5,287
Male,Under 25 years,2017,6,274
Male,Under 25 years,2017,7,272
Male,Under 25 years,2017,8,271
Male,Under 25 years,2017,9,244
Male,Under 25 years,2017,10,250
Male,Under 25 years,2017,11,234
Male,Under 25 years,2017,12,229
Male,Under 25 years,2018,1,231
Male,Under 25 years,2018,2,239
Male,Under 25 years,2018,3,233
Male,Under 25 years,2018,4,219
Male,Under 25 years,2018,5,242
Male,Under 25 years,2018,6,231
Male,Under 25 years,2018,7,220
Male,Under 25 years,2018,8,205
Male,Under 25 years,2018,9,207
Male,Under 25 years,2018,10,229
Male,Under 25 years,2018,11,208
Male,25 years and over,2018,12,208
Male,25 years and over,2015,1,2393
Male,25 years and over,2015,2,2389
Male,25 years and over,2015,3,2342
Male,25 years and over,2015,4,2283
Male,25 years and over,2015,5,2291
Male,25 years and over,2015,6,2382
Male,25 years and over,2015,7,2412
Male,25 years and over,2015,8,2385
Male,25 years and over,2015,9,2248
Male,25 years and over,2015,10,2140
